geneId	group	sample	cateRange	typeMethy	count	mean	std	min	25%	50%	75%	max
101108002	A	A0316	Distal	hmd	180.0	78.81412506103516	18.125612258911133	10.0	69.27124977111816	84.56999969482422	91.86874771118164	100.0
101108002	A	A0351	Distal	hmd	180.0	82.47966766357422	17.67106819152832	20.0	76.4956283569336	88.76166534423828	94.44499969482422	100.0
101108002	A	AH003	Distal	hmd	180.0	84.71147918701172	16.61628532409668	28.125	81.18562507629395	90.91000366210938	95.45500183105469	100.0
101108002	B	B0316	Distal	hmd	180.0	82.44750213623047	19.70158576965332	0.0	76.96249771118164	90.0	95.2802505493164	100.0
101108002	B	B0351	Distal	hmd	180.0	85.65534210205078	17.457365036010742	0.0	81.78125	90.94125366210938	96.43000030517578	100.0
101108002	B	BH003	Distal	hmd	180.0	85.34320831298828	16.89698028564453	0.0	83.76124954223633	90.3499984741211	95.3912525177002	100.0
101108002	C	C0316	Distal	hmd	180.0	80.5467758178711	18.71172523498535	16.665000915527344	71.13875198364258	86.7770004272461	94.59114837646484	100.0
101108002	C	C0351	Distal	hmd	180.0	83.71602630615234	16.487565994262695	16.66666603088379	77.67437362670898	88.46374893188477	95.45500183105469	100.0
101108002	C	CH003	Distal	hmd	180.0	85.94894409179688	16.713909149169922	23.530000686645508	83.64624977111816	92.1050033569336	96.75625038146973	100.0
101108002	D	D0316	Distal	hmd	180.0	81.53813934326172	21.26090431213379	0.0	76.74500274658203	89.33833694458008	95.29374885559082	100.0
101108002	D	D0351	Distal	hmd	180.0	81.84357452392578	19.775026321411133	0.0	77.70999908447266	87.97500228881836	94.44499969482422	100.0
101108002	D	DH003	Distal	hmd	180.0	82.02684783935547	19.9526424407959	0.0	75.0	88.76458358764648	94.2316665649414	100.0
