geneId	group	sample	cateRange	typeMethy	count	mean	std	min	25%	50%	75%	max
106990386	A	A0316	Body	pmd	14.0	41.528778076171875	16.070417404174805	16.66666603088379	29.167499542236328	40.0	50.0	71.42857360839844
106990386	A	A0316	Distal	lmr	3.0	41.30892562866211	30.2992000579834	13.09428596496582	25.29714298248291	37.5	55.4162483215332	73.3324966430664
106990386	A	A0316	Distal	pmd	68.0	55.083316802978516	23.745220184326172	16.66666603088379	34.451751708984375	49.58300018310547	75.01937484741211	100.0
106990386	A	A0316	Distal	umr	15.0	48.062564849853516	28.734119415283203	10.0	27.55681800842285	45.0	66.57402610778809	100.0
106990386	A	A0316	Upstream	pmd	14.0	73.64734649658203	25.475605010986328	25.0	56.649375915527344	81.30062484741211	95.82979011535645	100.0
106990386	A	A0351	Body	pmd	14.0	40.825008392333984	21.023509979248047	16.66666603088379	25.0	36.25	52.30749988555908	85.71428680419922
106990386	A	A0351	Distal	lmr	3.0	52.976192474365234	28.026803970336914	21.428571701049805	41.9642858505249	62.5	68.75	75.0
106990386	A	A0351	Distal	pmd	68.0	59.63289260864258	27.197574615478516	13.332500457763672	34.69024848937988	52.726999282836914	85.7641658782959	100.0
106990386	A	A0351	Distal	umr	15.0	46.94389343261719	28.198165893554688	8.332500457763672	23.214285850524902	50.00062561035156	62.5	100.0
106990386	A	A0351	Upstream	pmd	14.0	68.86554718017578	25.27443504333496	25.0	47.686875343322754	80.77708435058594	86.01385498046875	93.75
106990386	A	AH003	Body	pmd	14.0	40.3036003112793	19.994117736816406	9.260000228881836	29.79212474822998	36.86750030517578	53.36519241333008	75.84928894042969
106990386	A	AH003	Distal	lmr	3.0	49.79166793823242	34.15459442138672	25.0	30.3125	35.625	62.1875	88.75
106990386	A	AH003	Distal	pmd	68.0	55.090118408203125	25.281452178955078	12.5	33.779062271118164	48.2137508392334	81.28916549682617	100.0
106990386	A	AH003	Distal	umr	15.0	51.556114196777344	26.329769134521484	16.667499542236328	34.28113555908203	42.1875	69.83222007751465	95.0
106990386	A	AH003	Upstream	pmd	14.0	67.6229476928711	26.09418487548828	16.667499542236328	51.01208305358887	75.33791732788086	88.05062294006348	95.45500183105469
106990386	B	B0316	Body	lmr	1.0	0.0		0.0	0.0	0.0	0.0	0.0
106990386	B	B0316	Body	pmd	15.0	46.1499137878418	22.58245849609375	13.333999633789062	31.009614944458008	36.4587516784668	63.928571701049805	87.5
106990386	B	B0316	Distal	lmr	5.0	23.66699981689453	33.049346923828125	0.0	0.0	0.0	50.0	68.33499908447266
106990386	B	B0316	Distal	pmd	64.0	56.57460021972656	27.676103591918945	0.0	37.5	58.33449935913086	82.55999755859375	100.0
106990386	B	B0316	Upstream	pmd	17.0	63.09752655029297	21.93345832824707	37.5	43.54666519165039	61.11000061035156	83.3324966430664	100.0
106990386	B	B0351	Body	lmr	1.0	0.0		0.0	0.0	0.0	0.0	0.0
106990386	B	B0351	Body	pmd	15.0	41.27291488647461	21.427204132080078	10.0	27.34850025177002	35.71428680419922	56.5625	84.72333526611328
106990386	B	B0351	Distal	lmr	5.0	20.638999938964844	32.31187438964844	0.0	0.0	0.0	29.44499969482422	73.75
106990386	B	B0351	Distal	pmd	64.0	57.17012023925781	29.08584976196289	0.0	35.71395778656006	56.94687461853027	82.49875068664551	100.0
106990386	B	B0351	Upstream	pmd	17.0	64.38127899169922	24.45769691467285	20.485000610351562	46.875	76.1449966430664	80.3566665649414	100.0
106990386	B	BH003	Body	lmr	1.0	0.0		0.0	0.0	0.0	0.0	0.0
106990386	B	BH003	Body	pmd	15.0	44.49741744995117	24.91729736328125	10.0	30.128204345703125	35.71428680419922	61.11111068725586	100.0
106990386	B	BH003	Distal	lmr	5.0	24.0	33.61547088623047	0.0	0.0	0.0	50.0	70.0
106990386	B	BH003	Distal	pmd	64.0	57.313087463378906	27.68784523010254	0.0	40.86400032043457	56.774749755859375	82.45125007629395	100.0
106990386	B	BH003	Upstream	pmd	17.0	63.153594970703125	20.264480590820312	29.197500228881836	45.959999084472656	70.211669921875	75.43875122070312	96.43000030517578
106990386	C	C0316	Body	lmr	2.0	32.2703857421875	22.741098403930664	16.190000534057617	24.2301926612854	32.270384788513184	40.31057691574097	48.35076904296875
106990386	C	C0316	Distal	lmr	3.0	47.64875411987305	35.085697174072266	16.06999969482422	28.764375686645508	41.4587516784668	63.438127517700195	85.4175033569336
106990386	C	C0316	Distal	pmd	70.0	58.49707794189453	25.422380447387695	0.0	39.35000133514404	61.08736228942871	80.3131275177002	100.0
106990386	C	C0316	Distal	umr	6.0	46.408355712890625	23.58070182800293	16.06999969482422	35.812188148498535	42.25687599182129	54.65291786193848	85.4175033569336
106990386	C	C0351	Body	lmr	2.0	49.1497688293457	9.166605949401855	42.667999267578125	45.908884048461914	49.1497688293457	52.39065361022949	55.63153839111328
106990386	C	C0351	Distal	lmr	3.0	41.08797836303711	28.742046356201172	22.22142791748047	24.548213958740234	26.875	50.5212516784668	74.1675033569336
106990386	C	C0351	Distal	pmd	70.0	59.43411636352539	24.447795867919922	0.0	40.69374942779541	64.1137523651123	77.0310001373291	100.0
106990386	C	C0351	Distal	umr	6.0	50.33880615234375	21.294429779052734	22.22142791748047	33.003472328186035	57.24194526672363	63.98750305175781	74.1675033569336
106990386	C	CH003	Body	lmr	2.0	64.61538696289062	6.527137279510498	60.0	62.30769157409668	64.61538314819336	66.92307472229004	69.23076629638672
106990386	C	CH003	Distal	lmr	3.0	71.23059844970703	31.856821060180664	34.52428436279297	61.012142181396484	87.5	89.5837516784668	91.6675033569336
106990386	C	CH003	Distal	pmd	70.0	61.5059700012207	24.355440139770508	0.0	45.83333206176758	64.40250015258789	81.17541694641113	100.0
106990386	C	CH003	Distal	umr	6.0	69.46326446533203	22.912559509277344	34.52428436279297	55.15833377838135	77.47000122070312	85.3125	91.6675033569336
106990386	D	D0316	Body	pmd	9.0	55.64814758300781	21.464513778686523	25.0	37.5	50.0	75.0	83.33333587646484
106990386	D	D0316	Distal	lmr	3.0	41.369049072265625	28.154510498046875	12.5	27.678571701049805	42.85714340209961	55.803571701049805	68.75
106990386	D	D0316	Distal	pmd	67.0	59.741783142089844	29.03211784362793	0.0	41.66583442687988	60.5	86.61125183105469	100.0
106990386	D	D0316	Upstream	pmd	15.0	62.73556137084961	28.092666625976562	0.0	45.888221740722656	72.0512466430664	86.19250106811523	93.33333587646484
106990386	D	D0351	Body	pmd	9.0	49.04063415527344	19.187437057495117	20.832500457763672	32.5	48.21428680419922	66.66600036621094	70.83333587646484
106990386	D	D0351	Distal	lmr	3.0	31.720596313476562	33.51274871826172	12.244285583496094	12.372142791748047	12.5	41.4587516784668	70.4175033569336
106990386	D	D0351	Distal	pmd	67.0	58.88896179199219	28.107019424438477	0.0	38.75	59.5837516784668	85.03416442871094	100.0
106990386	D	D0351	Upstream	pmd	15.0	57.04509735107422	25.153257369995117	0.0	47.76881980895996	62.70000076293945	76.96374893188477	87.5
106990386	D	DH003	Body	pmd	9.0	47.601905822753906	18.987398147583008	24.44499969482422	30.0	44.61642837524414	63.66600036621094	72.0633316040039
106990386	D	DH003	Distal	lmr	3.0	28.14821434020996	27.879695892333984	5.0	12.673571586608887	20.347143173217773	39.72232151031494	59.09749984741211
106990386	D	DH003	Distal	pmd	67.0	53.013755798339844	27.418685913085938	0.0	30.475833892822266	54.5837516784668	77.97374725341797	100.0
106990386	D	DH003	Upstream	pmd	15.0	58.35211944580078	27.690549850463867	0.0	42.82866668701172	62.856666564941406	78.5412483215332	100.0
