	geneId	group	sample	cateRange	typeMethy	median	mean	std
0	106990386	A	A0316	Body	pmd	40.0	41.528774	16.070417317832625
1	106990386	A	A0316	Distal	lmr	37.5	41.30893	30.299198886368984
2	106990386	A	A0316	Distal	pmd	49.583	55.08332	23.74521960639989
3	106990386	A	A0316	Distal	umr	45.0	48.062565	28.734120623662324
4	106990386	A	A0316	Upstream	pmd	81.30063	73.647354	25.47560414327464
5	106990386	A	A0351	Body	pmd	36.25	40.82501	21.02351022979595
6	106990386	A	A0351	Distal	lmr	62.5	52.97619	28.02680310139257
7	106990386	A	A0351	Distal	pmd	52.726997	59.632893	27.19757424377244
8	106990386	A	A0351	Distal	umr	50.000626	46.943893	28.19816533267169
9	106990386	A	A0351	Upstream	pmd	80.777084	68.86555	25.274434901936466
10	106990386	A	AH003	Body	pmd	36.8675	40.3036	19.994116857722936
11	106990386	A	AH003	Distal	lmr	35.625	49.791668	34.15459644518338
12	106990386	A	AH003	Distal	pmd	48.213753	55.090115	25.281452415791303
13	106990386	A	AH003	Distal	umr	42.1875	51.556114	26.3297696612216
14	106990386	A	AH003	Upstream	pmd	75.33792	67.62295	26.094184913621955
15	106990386	B	B0316	Body	pmd	36.45875	46.14992	22.582459540595142
16	106990386	B	B0316	Distal	lmr	0.0	23.667	33.04934832266156
17	106990386	B	B0316	Distal	pmd	58.3345	56.5746	27.676102534059567
18	106990386	B	B0316	Upstream	pmd	61.11	63.09753	21.933458934740276
19	106990386	B	B0351	Body	pmd	35.714287	41.27292	21.42720454694715
20	106990386	B	B0351	Distal	lmr	0.0	20.639	32.31187442189498
21	106990386	B	B0351	Distal	pmd	56.946877	57.17012	29.085850466505807
22	106990386	B	B0351	Upstream	pmd	76.145	64.38127	24.4576972375742
23	106990386	B	BH003	Body	pmd	35.714287	44.497417	24.9172976383521
24	106990386	B	BH003	Distal	lmr	0.0	24.0	33.61547262794322
25	106990386	B	BH003	Distal	pmd	56.77475	57.313084	27.68784597559401
26	106990386	B	BH003	Upstream	pmd	70.21167	63.15359	20.264479570136064
27	106990386	C	C0316	Body	lmr	32.270386	32.270386	22.741097500821834
28	106990386	C	C0316	Distal	lmr	41.45875	47.64875	35.0856970872327
29	106990386	C	C0316	Distal	pmd	61.087364	58.497074	25.422380206541476
30	106990386	C	C0316	Distal	umr	42.256874	46.408356	23.580701524793625
31	106990386	C	C0351	Body	lmr	49.14977	49.14977	9.166606422428822
32	106990386	C	C0351	Distal	lmr	26.875	41.08798	28.742046321414833
33	106990386	C	C0351	Distal	pmd	64.113754	59.434113	24.44779487159695
34	106990386	C	C0351	Distal	umr	57.241943	50.338806	21.294429227722066
35	106990386	C	CH003	Body	lmr	64.61539	64.61539	6.527137443723281
36	106990386	C	CH003	Distal	lmr	87.5	71.2306	31.85682032814059
37	106990386	C	CH003	Distal	pmd	64.4025	61.505962	24.3554397110741
38	106990386	C	CH003	Distal	umr	77.47	69.463264	22.912559119057043
39	106990386	D	D0316	Body	pmd	50.0	55.648148	21.464513186467727
40	106990386	D	D0316	Distal	lmr	42.857143	41.36905	28.15451023174047
41	106990386	D	D0316	Distal	pmd	60.5	59.741783	29.03211806156922
42	106990386	D	D0316	Upstream	pmd	72.05125	62.73557	28.092666389771146
43	106990386	D	D0351	Body	pmd	48.214287	49.040634	19.187437244487597
44	106990386	D	D0351	Distal	lmr	12.5	31.720596	33.51274844761569
45	106990386	D	D0351	Distal	pmd	59.58375	58.888966	28.107019788155846
46	106990386	D	D0351	Upstream	pmd	62.7	57.045094	25.153257105563224
47	106990386	D	DH003	Body	pmd	44.61643	47.601906	18.98739762336631
48	106990386	D	DH003	Distal	lmr	20.347143	28.148214	27.879695226984566
49	106990386	D	DH003	Distal	pmd	54.58375	53.013752	27.41868505678695
50	106990386	D	DH003	Upstream	pmd	62.856667	58.35212	27.690550953870027
